Date,Observation Time,Purchase Order Number,RCS Number,Work Order Number,Job Start Time,Job Finish Time,Work group,Risk,OC,Authority To Proceed Description,Does ARP walk the job. In the alloted time frames,Field Verifications Completed (ARP),Field Verifications Completed (CRP),Supervision Present,# of People on Job
6/07/2021,7:35:00,4144977710,92313,,7:30:00,,GLU Ropes,High,1,#51 B.O.T. Descale,Yes,Yes,Yes,No,4
6/07/2021,7:30:00,718397,90142,,7:30:00,,GLU Scaff,High,1,34 digester bank service,Yes,Yes,Yes,No,2
6/07/2021,10:30:00,,92319,,10:00:00,14:00:00,GLU Scaff,Medium,1,Erect scaffold #42 MPP disch. valve,Yes,Yes,Yes,No,2
6/07/2021,10:08:00,7188653,,,10:20:00,13:00:00,Olivea,Medium,1,Repair leak in pipe 25c,Yes,Yes,Yes,No,2
6/07/2021,11:40:00,,92345,,10:30:00,11:44:00,Olivea,Medium,1,Repair piping 25A2,Yes,Yes,Yes,No,2
7/07/2021,8:15:00,7154232,85039,,7:45:00,,Dartla,High,1,Install Cladding #31 PFT,Yes,Yes,Yes,No,3
7/07/2021,10:20:00,7154232,85039,,7:45:00,,Dartla,High,1,Install Cladding #31 PFT,Yes,Yes,Yes,No,3
7/07/2021,13:15:00,7154232,85039,,7:45:00,,Dartla,High,1,Install Cladding #31 PFT,Yes,Yes,Yes,No,1
7/07/2021,8:07:00,7175923,,,7:30:00,,Refeak,High,1,Insert Tee piece in slurry line 30 unit 4,Yes,Yes,Yes,No,3
7/07/2021,10:00:00,7175923,,,7:30:00,,Refeak,High,1,Insert Tee piece in slurry line 30 unit 4,Yes,Yes,Yes,No,3
7/07/2021,13:45:00,7175923,,,7:30:00,,Refeak,High,1,Insert Tee piece in slurry line 30 unit 4,Yes,Yes,Yes,No,3
7/07/2021,10:25:00,7183573,,,7:00:00,,GLU Mech,High,1, Install tapping points #56 contact heater,Yes,Yes,Yes,No,2
7/07/2021,12:10:00,7183573,,,7:00:00,,GLU Mech,High,1, Install tapping points #56 contact heater,Yes,Yes,Yes,No,2
7/07/2021,13:40:00,7183573,,,7:00:00,,GLU Mech,High,1, Install tapping points #56 contact heater,Yes,Yes,Yes,No,2
7/07/2021,7:51:00,,92313,4144977-10,7:30:00,11:30:00,GLU Ropes,High,1,Descale #51 BOT Relief line,Yes,Yes,Yes,No,5
7/07/2021,9:00:00,,92313,4144977-10,7:30:00,11:30:00,GLU Ropes,High,1,Descale #51 BOT Relief line,Yes,Yes,Yes,No,5
7/07/2021,10:00:00,230399,91720,,10:00:00,,GLU Scaff,High,1,Build scaffold 42 unit #1,Yes,Yes,Yes,No,2
7/07/2021,8:00:00,7190325,84802,,7:00:00,,GLU Scaff,High,1,Erect scaffold to alarm spool 30 unit #1,Yes,Yes,Yes,No,2
7/07/2021,12:15:00,7191276,,,11:00:00,,GLU Scaff,High,1,Erect scaffold #16 heater,Yes,Yes,Yes,No,2
7/07/2021,14:07:00,7191276,,,11:00:00,,GLU Scaff,High,1,Erect scaffold #16 heater,Yes,Yes,Yes,No,2
8/07/2021,7:45:00,7173834,,,7:30:00,,Refeak,Low,1,Measure diameter of #5 containment tank,Yes,Yes,Yes,No,2
8/07/2021,9:15:00,7173834,,,7:30:00,10:00:00,Refeak,Low,1,Measure diameter of #5 containment tank,Yes,Yes,Yes,No,4
8/07/2021,7:30:00,7175923,,,7:00:00,,Refeak,High,1,Install bypass Bld. 30,Yes,Yes,Yes,No,4
8/07/2021,7:35:00,7183573,SOW,,7:00:00,,GLU Mech,High,1,Install hot taps #56 contact heater,Yes,Yes,Yes,No,3
8/07/2021,9:15:00,7183573,SOW,,7:00:00,,GLU Mech,High,1,Install hot taps #56 contact heater,Yes,Yes,Yes,No,3
8/07/2021,11:15:00,7183573,SOW,,7:00:00,,GLU Mech,High,1,Install hot taps #56 contact heater,Yes,Yes,Yes,No,3
9/07/2021,10:30:00,7175923,,,7:00:00,,Refeak,High,1,Install bypass Bld. 30,Yes,Yes,Yes,No,6
9/07/2021,8:40:00,7175923,,,8:40:00,,Refeak,High,1,Install bypass Bld. 30,Yes,Yes,Yes,No,6
9/07/2021,10:45:00,7175923,,,8:40:00,,Refeak,High,1,Install bypass Bld. 30,Yes,Yes,Yes,No,6
